Question_Code,Short_Description,Long_Description,Answer_code,Answer_meaning
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45660,"Tiffin, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45700,"Tifton, GA"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45740,"Toccoa, GA"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45780,"Toledo, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45780,"Toledo, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45780,"Toledo, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45780,"Toledo, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45820,"Topeka, KS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45820,"Topeka, KS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45820,"Topeka, KS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45820,"Topeka, KS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45820,"Topeka, KS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45860,"Torrington, CT"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45900,"Traverse City, MI"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45900,"Traverse City, MI"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45900,"Traverse City, MI"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45900,"Traverse City, MI"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45940,"Trenton-Princeton, NJ"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",45980,"Troy, AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46020,"Truckee-Grass Valley, CA"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46060,"Tucson, AZ"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46100,"Tullahoma-Manchester, TN"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46100,"Tullahoma-Manchester, TN"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46100,"Tullahoma-Manchester, TN"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46140,"Tulsa, OK"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46140,"Tulsa, OK"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46140,"Tulsa, OK"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46140,"Tulsa, OK"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46140,"Tulsa, OK"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46140,"Tulsa, OK"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46140,"Tulsa, OK"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46180,"Tupelo, MS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46180,"Tupelo, MS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46180,"Tupelo, MS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46180,"Tupelo, MS"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46220,"Tuscaloosa, AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46220,"Tuscaloosa, AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46220,"Tuscaloosa, AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46220,"Tuscaloosa, AL"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46300,"Twin Falls, ID"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46300,"Twin Falls, ID"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46340,"Tyler, TX"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46380,"Ukiah, CA"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46420,"Union, SC"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46460,"Union City, TN"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46500,"Urbana, OH"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46520,"Urban Honolulu, HI"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46540,"Utica-Rome, NY"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46540,"Utica-Rome, NY"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46620,"Uvalde, TX"
CBSA2020,CBSA 2020 code,"The term 'Core Based Statistical Area' (CBSA) is a collective term for both metro and micro areas. Metropolitan and micropolitan statistical areas (metro and micro areas) are geographic entities defined by the U.S. Office of Management Budget (OMB) for use by federal statistical agencies in collecting, tabulating, and publishing federal statistics. A metro contains a core urban area with a population of at least 50,000, and a micro area contains an urban core with a population of at least 10,000 but less than 50,000. Each metro or micro area consists of one or more counties and includes the counties containing the core urban area, as well as any adjacent counties that have a high degree of social and economic integration (as measured by commuting to work) with the urban core",46660,"Valdosta, GA"
